name,stationID,evaNr,rl100Code,lat,lon
Bad Homburg,284,,,50.219904,8.620624
Bad Honnef (Rhein),285,,,50.639772,7.219533
Bad Hönningen,286,,,50.513676,7.310871
Bad Karlshafen,287,,,51.64627,9.44571
Bad Kissingen,288,,,50.191547,10.079885
Bad Kleinen,289,,,53.766974,11.466925
Bad Kohlgrub,290,,,47.668006,11.058204
Bad Kohlgrub Kurhaus,291,,,47.670213,11.039181
Bad Kreuznach,296,,,49.842399,7.866435
Bad Krozingen,297,,,47.919721,7.697632
Bad König,292,,,49.738577,9.001539
Bad König-Zell,6989,,,49.7197089,8.9940396
Bad Kösen,294,,,51.130742,11.718274
Bad Köstritz,295,,,50.93159,12.028452
Bad Kötzting,3390,,,49.17292,12.851892
Bad Langensalza,298,,,51.101701,10.640671
Bad Lausick,301,,,51.143803,12.648695
Bad Lauterberg im Harz Barbis,8081,,,51.619024,10.414607
Bad Liebenwerda,303,,,51.518401,13.40293
Bad Liebenzell,304,,,48.772578,8.734039
Bad Lobenstein,3753,,,50.452415,11.6418064
Bad Malente-Gremsmühlen,3913,,,54.167014,10.55151
Bad Münder (Deister),306,,,52.178192,9.468062
Bad Münster am Stein,307,,,49.813426,7.846989
Bad Münstereifel,308,,,50.558914,6.764369
Bad Münstereifel Arloff,174,,,50.597676,6.786608
Bad Münstereifel-Iversheim,3018,,,50.583034,6.769162
Bad Nauheim,310,,,50.367904,8.749334
Bad Nenndorf,311,,,52.343735,9.378603
Bad Neuenahr,312,,,50.5476559,7.14403152
Bad Neustadt (Saale),313,,,50.328127,10.226134
Bad Niedernau,314,,,48.460766,8.896533
Bad Oeynhausen,315,,,52.205398,8.796523
Bad Oeynhausen Süd,316,,,52.197127,8.801723
Bad Oldesloe,317,,,53.8053902,10.3825414
Bad Peterstal,318,,,48.428895,8.201948
Bad Pyrmont,319,,,51.974233,9.272719
Bad Rappenau,320,,,49.237765,9.101529
Bad Rappenau Kurpark,8274,,,49.240371,9.113526
Bad Reichenhall,321,,,47.731168,12.881825
Bad Reichenhall-Kirchberg,322,,,47.718538,12.874001
Bad Rodach (b Coburg),5302,,,50.336986,10.778387
Bad Saarow,324,,,52.293253,14.064929
Bad Sachsa,326,,,51.581944,10.573211
Bad Salzdetfurth,328,,,52.062635,10.005595
Bad Salzdetfurth-Solebad,8064,,,52.06994,10.018916
Bad Salzhausen,329,,,50.4187643,8.9799875
Bad Salzschlirf,331,,,50.626935,9.494484
Bad Salzuflen,332,,,52.081628,8.740428
Bad Salzuflen-Sylbach,6129,,,52.026884,8.765529
Bad Salzungen,333,,,50.8149107,10.2294302
Bad Sassendorf,334,,,51.587168,8.162439
Bad Saulgau,5520,,,48.013593,9.501083
Bad Schandau,335,,,50.9192886,14.1375375
Bad Schussenried,342,,,47.994033,9.668497
Bad Schwartau,343,,,53.916276,10.702722
Bad Schönborn Kronau,341,,,49.219345,8.646821
Bad Schönborn Süd,340,,,49.200001,8.641924
Bad Sebastiansweiler-Belsen,344,,,48.395566,9.030023
Bad Segeberg,345,,,53.933805,10.308163
Bad Sobernheim,5875,,,49.78285,7.649816
Bad Soden (Taunus),346,,,50.1429607,8.50442648
Bad Soden-Salmünster,347,,,50.280742,9.372053
Bad Sooden-Allendorf,348,,,51.267974,9.968696
Bad St Peter Süd,349,,,54.30501,8.648041
Bad St Peter-Ording,350,,,54.317293,8.614736
Bad Staffelstein,5963,,,50.108258,10.994239
Bad Steben,351,,,50.365095,11.64677
Bad Sulza,353,,,51.094767,11.634595
Bad Sulza Nord,354,,,51.097428,11.6283
Bad Säckingen,327,,,47.555857,7.94863
Bad Teinach-Neubulach,355,,,48.67847,8.727148
Bad Tölz,357,,,47.760578,11.57394
Bad Vilbel,358,,,50.1885876,8.73955965
Bad Vilbel Süd,359,,,50.1785849,8.73322695
Bad Vilbel-Gronau,2287,,,50.191529,8.783203
Bad Waldsee,360,,,47.925244,9.752274
Bad Wilsnack,363,,,52.960229,11.949344
Bad Wimpfen,364,,,49.229744,9.167297
Bad Wimpfen im Tal,8273,,,49.229848,9.187046
Bad Wimpfen-Hohenstadt,365,,,49.242537,9.138753
Bad Windsheim,366,,,49.5066,10.412942
Bad Wörishofen,367,,,48.005711,10.597875
Bad Zwischenahn,368,,,53.182547,8.003123
Baddeckenstedt,369,,,52.08916,10.228767
Baden (Kr Verden),370,,,53.007872,9.081261
Baden-Baden,371,,,48.790327,8.190831
Baden-Baden Haueneberstein,7159,,,48.811907,8.209021
Baden-Baden Rebland,6236,,,48.733844,8.146572
Bagenz,373,,,51.654888,14.426908
Bahnsdorf,374,,,51.581745,14.112288
Bahrenfeld,376,,,53.56006,9.910778
Baierbrunn,377,,,48.018741,11.480027
Baiersdorf,379,,,49.656147,11.036976
Baitz,380,,,52.164149,12.685111
Balbersdorf,381,,,49.29044,12.683064
Baldham,382,,,48.099256,11.78678
Balduinstein,383,,,50.3473877,7.96760917
Balgheim,8032,,,48.065886,8.759892
Balgstädt,384,,,51.208295,11.738454
Balingen (Württ),385,,,48.278469,8.850307
Balingen Süd,386,,,48.2689423,8.84634107
Ballstädt (Kr Gotha),390,,,51.04075,10.707666
Baltersweiler,391,,,49.493785,7.166538
Balve,392,,,51.332594,7.863071
Bamberg,393,,,49.900759,10.899489
Bammental,394,,,49.359588,8.783685
Banteln,398,,,52.066264,9.75033
Bantorf,400,,,52.332253,9.417771
Barbelroth,7185,,,49.104118,8.070307
Bardowick,402,,,53.290469,10.371994
Bargteheide,408,,,53.7282,10.269104
Barleben,410,,,52.208945,11.620875
Barleber See,411,,,52.214328,11.640852
Barmbek,412,,,53.587458,10.044164
Barnstorf (Han),414,,,52.707587,8.510462
Barnten,415,,,52.195498,9.815279
Barrien,416,,,52.946837,8.818506
Barsinghausen,418,,,52.30489,9.467112
Barthmühle,420,,,50.557957,12.163681
Baruth (Mark),421,,,52.057916,13.511963
Basel Bad Bf,424,,,47.567288,7.607805
Bassum,425,,,52.847388,8.739924
Batzenhäusle,426,,,48.089064,7.94108
Batzhausen,427,,,49.191364,11.593033
Baumschulenweg,430,,,52.467244,13.490097
Baunach,431,,,49.98909,10.854115
Baunatal-Guntershausen,2420,,,51.229917,9.466997
Baunatal-Rengershausen,5224,,,51.254922,9.468667
Bautzen,432,,,51.173097,14.428735
Bavendorf,433,,,53.187474,10.629537
Bayerisch Eisenstein,435,,,49.12147,13.2088017
Bayerisch Gmain,436,,,47.720375,12.89507
Bayreuth Hbf,439,,,49.949616,11.579985
Bayrischzell,441,,,47.6755453,12.0111573
Bebitz,442,,,51.724136,11.763967
Bebra,443,,,50.969568,9.797788
Beckingen (Saar),446,,,49.386881,6.688021
Beckum-Neubeckum,4361,,,51.8018514,8.0209744
Bedburg (Erft),447,,,50.9867541,6.57313406
Bedburg-Hau,448,,,51.758052,6.173479
Beelen,450,,,51.92932,8.116159
Beelitz Stadt,451,,,52.239395,12.96686
Beelitz-Heilstätten,452,,,52.262345,12.926057
Beeskow,456,,,52.177684,14.250974
Beetz-Sommerfeld,458,,,52.804259,13.022086
Behringersdorf,463,,,49.481574,11.198498
Beienheim,464,,,50.359131,8.821022
Beilrode,467,,,51.571005,13.064935
Beimerstetten,468,,,48.480974,9.976835
Beldorf,470,,,54.125266,9.356217
Belgershain,472,,,51.233947,12.542785
Belleben,473,,,51.673603,11.633376
Bellenberg,474,,,48.254645,10.09039
Bellevue,475,,,52.519955,13.348263
